Date,AQI,PM2.5,RH,Temperature,WindSpeed
2001-01-01,43.5333333333333,8.05,60.0,0.629731920202023,4.4636388299558
2001-01-02,58.0,12.8,64.5455487142857,0.643083632788866,4.07896513486766
2001-01-03,69.0,19.2,69.684524,2.21628168083384,2.88249351100997
2001-01-04,80.2424242424243,24.9515151515152,63.875,4.61558266039263,3.34507071780744
2001-01-05,80.0,24.5666666666667,86.1130954285714,5.86543370235199,3.565944128028
2001-01-06,74.5,21.65,79.095238,5.63222139801298,2.97782847294677
2001-01-07,79.1428571428571,24.2514285714286,71.7559524285714,5.08593131212121,2.7434385164665
2001-01-08,104.0,36.0333333333333,89.3988097142857,3.34768862520129,1.89995171555021
2001-01-09,64.5,16.3,74.375,2.64939061907643,5.78072644978978
2001-01-10,51.5357142857143,11.0178571428571,56.8273808571429,3.3320196430732,5.03998381458151
2001-01-11,66.5,17.8,64.9523808571429,3.90857215366001,3.86487981022519
2001-01-12,81.0,25.1,67.9047618571429,3.69273084990958,2.69076159820863
2001-01-13,74.9189189189189,21.9648648648649,71.9345238571429,3.54941999294213,2.39730509087327
2001-01-14,134.0,48.85,78.0535715714286,4.09493949778583,2.14861386044463
2001-01-15,93.5,31.75,97.2023808571429,3.39461617741611,1.50880856196751
2001-01-16,69.9615384615385,19.3769230769231,78.75,2.04425921237693,4.26339690489883
2001-01-17,64.0,16.26,71.5059524285714,1.33906418618619,3.84395153333762
2001-01-18,58.6666666666667,13.1666666666667,82.9940477142857,1.25383981215028,2.58614266722413
2001-01-19,59.2352941176471,14.4147058823529,99.1692547142857,1.9312670253797,2.16949083392063
2001-01-20,63.0,15.6333333333333,94.9583332857143,1.15410736614332,5.30152982209295
2001-01-21,55.0,11.35,79.1547618571429,1.75646825166365,5.94569000762158
2001-01-22,79.9166666666667,24.575,72.5892857142857,3.01904229857344,1.82210459674987
2001-01-23,128.666666666667,46.7666666666667,78.6130954285714,3.52233328804348,2.07442081025752
2001-01-24,99.0,33.4333333333333,76.5952147142857,3.27695315959596,1.16395018804466
2001-01-25,84.0285714285714,26.9914285714286,71.1805555,2.82362508500303,2.39495981069414
2001-01-26,70.5,19.55,59.6666665714286,3.20958113823588,1.70996803634956
2001-01-27,79.0,24.2333333333333,71.1130952857143,2.82820776265376,4.37091918631806
2001-01-28,57.3714285714286,12.5685714285714,52.3511904285714,2.68118741616162,4.03886152136686
2001-01-29,82.6666666666667,26.3,62.1130952857143,3.92798913913914,1.63212285634236
2001-01-30,77.0,23.1666666666667,82.5711695714286,5.22918574809466,4.70859096818321
2001-01-31,75.7948717948718,22.3717948717949,76.8940477142857,4.08914591721921,4.66213807187549
2001-02-01,68.6666666666667,18.5,67.154762,3.37824986662655,3.92028247090419
2001-02-02,75.0,22.0,76.5876622857143,3.09858226032892,4.76135527607391
2001-02-03,38.4242424242424,7.03636363636364,50.1190475,4.55250051644605,8.18761118480675
2001-02-04,62.5,15.2,71.5694445,6.67731514340152,4.05290428766222
2001-02-05,73.6666666666667,21.2666666666667,95.7569445,6.82967680004011,8.1128614949366
2001-02-06,72.1142857142857,20.7485714285714,79.6805555,5.98955083935018,7.45355795373565
2001-02-07,68.6666666666667,18.4,61.0851451666667,4.80690413200723,6.04806545859218
2001-02-08,75.0,22.0,74.7430556666667,4.50243831622383,2.97003752486128
2001-02-09,85.5151515151515,27.3545454545455,89.423611,3.84884900722022,3.14172488377159
2001-02-10,49.0,8.9,53.2569443333333,1.27296518083183,11.6474250752201
2001-02-11,21.3333333333333,3.9,37.2083333333333,1.20331324040404,8.59295145913191
2001-02-12,47.2647058823529,9.70294117647059,51.9027778333333,3.08489927153673,3.96457034168162
2001-02-13,79.5,24.425,73.4097223333333,4.88323041538776,3.31839269051749
2001-02-14,114.0,40.8,88.1222826666667,5.2870338470948,3.73392327915656
2001-02-15,58.5,13.0666666666667,73.6666665,4.37618347222222,4.47113934199604
2001-02-16,73.0,20.9,86.3055555,3.13231635836386,2.57985806773144
2001-02-17,45.3333333333333,9.73333333333333,63.5416666666667,1.88111375202758,10.2415889085737
2001-02-18,47.1764705882353,9.13235294117647,48.1527778333333,3.377075222627,6.27706125821383
2001-02-19,65.6666666666667,16.9,49.6228863333333,6.11324981649527,6.48417775097126
2001-02-20,82.6666666666667,26.1333333333333,58.0208333333333,7.23812611415247,5.22436413336187
2001-02-21,55.2121212121212,12.2757575757576,48.1180555,5.35312571907374,9.29269428499946
2001-02-22,53.0,10.15,62.7222223333333,3.8135648497681,4.53621051389695
2001-02-23,74.5,21.55,69.493687,4.35069262902247,6.19653316591732
2001-02-24,56.8378378378378,12.8675675675676,46.7777778333333,5.79973694596236,4.20060310973333
2001-02-25,60.5,14.25,88.8611111666667,7.06943251770896,5.90549486848117
